FillUpDate,TotalMiles,TankMiles,Gallons,MPG,FinishTankDate,Notes,,,
16-Dec-06,23885,,,,,,,,
17-Feb,24251,366,22.6,16.19469027,18-Feb-06,,,,
18-Feb-06,24442.7,191.7,12.8,14.9765625,18-Feb-06,,,,
18-Feb-06,24765,322.3,16.5,19.53333333,27-Feb-06,,,,
27-Feb-06,25156,391,24.9,15.70281124,10-Mar-06,,,,
10-Mar-06,25430.6,274.6,15.8,17.37974684,11-Mar-06,,,,
11-Mar-06,25547.9,117.3,7.5,15.64,11-Mar-06,,,,
11-Mar-06,25900.1,352.2,18.8,18.73404255,12-Mar-06,,,,
12-Mar-06,26282.6,382.5,22.1,17.30769231,13-Mar-06,,,,
13-Mar-06,26616.6,334,19,17.57894737,14-Mar-06,,,,
14-Mar-06,26846.9,230.3,13.7,16.81021898,14-Mar-06,,,,
14-Mar-06,27238.4,391.5,20.5,19.09756098,15-Mar-06,,,,
15-Mar-06,27346.8,108.4,9.5,11.41052632,15-Mar-06,,,,
15-Mar-06,27824.7,477.9,22.8,20.96052632,,,,,
,,,,,,,,,
26-Apr-06,28224.3,399.6,23.4711897,17.02512761,,Uncertain,,213,42.6
8-Jun-06,28623.9,399.6,23.4711897,17.02512761,,Uncertain,,,
20-Jul-06,29023.5,399.6,23.4711897,17.02512761,,Uncertain,,,
,,,,,,,,,
,,,,,,,,,
1-Sep-06,29423.1,399.6,,,,"Uncertain Date, Tank Miles, Gallons, and MPG",,,
14-Oct-06,29723.5,300.4,20.5,14.65365854,16-Oct-06,,,,
16-Oct-06,30064.2,340.7,21.6,15.77314815,,,,,
,30342.4,278.2,,,,,,,
27-Jan-07,30730.8,388.4,,,,,,,
25-Feb-07,31011.9,281.1,20.35,13.81326781,9-May-07,,,,
9-May-07,31434.4,422.5,31.679,13.33691089,26-May-07,,,,
26-May-07,31746.9,312.5,27.3,11.44688645,28-May-07,,,,
28-May,32279.1,532.2,30.268,17.58292586,28-May-07,,,,
28-May-07,32541.4,262.3,18.479,14.19449104,29-May-07,,,,
29-May-07,32805.9,264.5,15.536,17.02497425,31-May-07,,,,
31-May-07,33170.5,364.6,22.469,16.22680137,2-Jun-07,,,,
2-Jun-07,33426.3,255.8,16.136,15.85275161,3-Jun-07,,,,
3-Jun-07,33658.7,232.4,15.242,15.24734287,5-Jun-07,,,,
5-Jun-07,34125.9,467.2,28.992,16.11479029,5-Jun-07,,,,
5-Jun-07,34439.2,313.3,20.008,15.65873651,9-Jun-07,,,,
9-Jun-07,34615.3,176.1,11.759,14.97576325,10-Jun-07,,,,
10-Jun-07,35056.3,441,25.395,17.36562315,11-Jun-07,,,,
11-Jun-07,35485.3,429,22.854,18.77133106,11-Jun-07,,,,
11-Jun-07,35697.7,212.4,11.09,19.15238954,28-Jun-07,,,,
28-Jun-07,36175.6,477.9,26.406,18.09815951,29-Jun-07,,,,
29-Jun-07,36585.7,410.1,22.877,17.92630153,6-Jul-07,,,,
6-Jul-07,37032.7,447,26.97,16.57397108,10-Jul-07,,,,
10-Jul-07,37256.5,223.8,12.429,18.00627565,17-Jul-07,,,,
17-Jul-07,37701.2,444.7,29.937,14.85452784,19-Jul-07,,,,
19-Jul-07,37996.5,295.3,17.183,17.18559041,19-Jul-07,,,,
19-Jul-07,38452.8,456.3,25.533,17.87099048,22-Jul-07,,,,
22-Jul-07,38958.4,505.6,28.343,17.83861977,24-Jul-07,,,,
24-Jul-07,39443.3,484.9,18.77,25.8337773,24-Jul-07,,,,
24-Jul-07,39637,193.7,13.681,14.15832176,26-Jul-07,,,,
26-Jul-07,40127,490,28.6412,17.10822172,26-Jul-07,,,,
26-Jul-07,40506.6,379.6,23.758,15.97777591,30-Jul-07,,,,
30-Jul-07,41005,498.4,28.582,17.43754811,30-Jul-07,,,,
30-Jul-07,41477.9,472.9,25.212,18.75694114,4-Aug-07,,,,
4-Aug-07,41824.5,346.6,22.393,15.47805118,31-Aug-07,,,,
31-Aug-07,42054.3,229.8,17.141,13.40645237,15-Sep-07,,,,
15-Sep-07,42357.4,303.1,18.69,16.21722846,16-Sep-07,,,,
16-Sep-07,42653.5,296.1,17.59,16.83342808,20-Sep-07,,,,
20-Sep-07,43057,403.5,24.02,16.79850125,20-Sep-07,,,,
20-Sep-07,43567,510,27.996,18.21688813,25-Sep-07,,,,
25-Sep-07,43968.1,401.1,27.383,14.64777417,25-Sep-07,,,,
25-Sep-07,44378,409.9,24.879,16.47574259,5-Oct-07,,,,
5-Oct-07,44777,399,27.93,14.28571429,23-Oct-07,,,,
23-Oct-07,45211,434,28.79,15.07467871,28-Oct-07,,,,
28-Oct-07,45629.5,418.5,26.002,16.09491578,12-Nov-07,,,,
12-Nov,46080,450.5,30.898,14.58023173,25-Nov-07,,,,
25-Nov-07,46484.9,404.9,25.96,15.59707242,11-Dec-07,,,,
11-Dec-07,46882.9,398,31.1,12.79742765,8-Jan-08,,,,
8-Jan-08,47290.2,407.3,29.932,13.60751036,4-Mar-08,,,,
4-Mar-08,47695,404.8,30.16,13.42175066,7-Mar-08,,,,
7-Mar-08,48153.6,458.6,30.8,14.88961039,13-Mar-08,,,,
13-Mar-08,48591.5,437.9,29.4,14.89455782,21-Mar-08,,,,
21-Mar-08,48966.5,375,25.6,14.6484375,26-Mar-08,,,,
26-Mar-08,49412.1,445.6,28.57,15.59677984,1-Apr-08,,,,
1-Apr-08,49952.4,540.3,28.5,18.95789474,9-Apr-08,,,,
9-Apr-08,50282.2,329.8,27.1,12.1697417,5-May-08,,,,
5-May,50743.3,461.1,27.1,17.01476015,11-May-08,,,,
11-May-08,51153.3,410,26,15.76923077,19-May-08,,,,
19-May-08,51551.8,436.5,27.5,15.87272727,26-May-08,,,,
26-May-08,52003.6,451.8,29.5,15.31525424,6-Jun-08,,,,
6-Jun-08,52440.8,437.2,29.2,14.97260274,0-Jan-00,,,,
